day_of_week,hour_bucket,city,platform,rainfall,aqi,earnings
6,3,4,2,73.1993941811405,319.3963178886665,152.97539875829992
2,2,4,2,2.0584494295802447,486.45943347289744,212.9758912915246
3,1,1,0,61.74815096277165,325.2439222197264,50.0
3,3,2,2,98.32308858067881,260.04330196159094,98.10323675114394
4,2,4,0,6.505159298527952,476.99849176399994,201.98083930243584
3,3,3,2,60.99966577826209,424.93771028127395,50.0
2,1,0,1,66.2522284353982,190.26998424023492,163.34939124657322
5,0,1,1,44.975413336976565,227.8176062008165,315.8091917284695
3,1,3,0,96.11720243493491,430.0402319051681,50.0
1,0,3,0,14.092422497476264,410.98864133931784,169.25313348042226
0,0,0,0,19.87156815341724,52.48495270562108,217.46368384139117
2,2,0,2,7.4044651734090365,211.30957784492267,326.6324537878007
0,3,0,1,9.541011649041131,216.86821348921987,236.36517026399378
3,3,2,2,47.22149251619493,103.81741067223577,237.0049041362917
5,2,0,0,56.127719756949624,396.93523097955244,401.1688876088002
6,1,1,0,20.17192023353962,453.09361805308373,172.38827584797872
0,3,4,1,13.93314544058757,321.98782067501776,157.44210610953326
4,3,2,2,16.122128725400444,468.36394355415786,125.71010954895502
4,1,0,0,87.14605901877177,411.6524346046015,50.0
3,0,0,0,22.793516254194166,242.19850488181535,205.26659881864498
3,0,0,2,0.6952130531190703,279.8362861599046,157.53887773848757
2,1,3,2,16.829104217293057,148.44389880788162,187.38064031703922
0,3,0,1,97.17820827209607,483.1012827239501,50.0
0,0,0,0,26.6781014275285,489.4767301246938,69.7948613402933
3,1,4,0,63.435134470136376,356.31745319964506,50.0
5,3,3,2,76.16196153287176,156.93689479657985,204.4098568351649
6,1,4,1,63.35297107608947,291.0986078336413,130.28391024607936
4,2,3,2,22.02410475655483,370.017289597108,203.01106811191684
6,2,3,2,17.436642900499145,360.92198214610966,318.616446478852
0,2,3,0,11.347352124058908,466.1121282253533,215.1718786941081
5,1,2,2,65.99840460341791,417.7499900905471,120.91659573251316
1,0,3,0,90.04180571633304,334.8956557729706,156.17488148807996
0,0,2,2,72.59556788702393,453.6996169786597,50.0
3,2,0,1,66.89882547142287,311.3089796464046,190.39344628490926
5,0,2,0,0.5061583846218687,122.3636231378744,335.9732353343427
4,0,3,0,1.8075363615520867,272.25217183254557,214.21498762735362
3,3,2,0,30.80607918523892,294.14310374970466,268.20035474052446
5,1,4,2,89.20465551771133,334.0123816987683,164.4092395137165
1,0,0,2,49.25176938188639,137.85934450912004,171.1095312180162
2,3,0,0,99.4550510797341,261.47503129592434,109.3154000243922
5,0,2,0,95.30718470239532,198.83763710173116,223.56658636689974
3,0,3,2,30.569701928718185,135.9099640176557,246.39610266414527
0,3,2,1,55.68012624583501,471.2696483723514,138.90224815803023
1,3,1,2,51.832965236373674,444.81788236757995,172.88812416909684
0,3,0,0,70.24840839871092,211.77101804888983,107.15365879869677
2,1,0,0,8.159418040024036,52.33318824829405,181.88286882546413
3,0,3,0,7.094091699992767,228.55272224624977,202.05053753311486
6,2,2,0,15.50416167277442,491.828399739739,287.71773508285327
5,1,1,1,25.025136051586404,67.47563049324044,290.6325875535899
4,0,4,0,45.72651616137286,428.9103837553916,63.59062234642331
3,1,2,2,13.835309241780136,109.73544000933641,196.7841657451662
2,3,1,2,25.08605273466612,132.95015344911653,185.41348142740628
5,2,0,0,5.819359550844361,461.8461774319162,253.53513960527724
5,3,0,0,27.993389694594285,479.68937629843737,189.70612807687706
6,3,4,1,73.00393165618185,71.47225746124195,124.49280496166386
5,0,4,1,9.179906581344188,92.37064472085206,286.8691129669131
5,1,3,0,47.41738290873252,94.02537229295066,182.76197979792784
0,1,4,2,4.8058924197033726,477.11557921612365,89.2683707599713
3,1,3,2,1.530454029038475,470.0463386357673,215.61100014218908
4,3,1,0,86.71989335550037,336.3816188507051,82.52490563023763
3,3,3,1,57.33670416719333,107.82515895525958,214.4365318528438
3,2,0,0,65.1484771857788,143.00796194453542,194.01171518186663
4,0,3,2,37.725908322797586,67.53340953960513,153.68823791924314
1,3,4,1,68.16136689727898,203.28105625890802,113.50680320605036
2,0,3,1,69.67371653641507,333.0242810509478,90.86041735827412
